Title,Color,Description,Brand,Pictures,Price,Sale Price,Precent Off,Sizes,WebID
"Men's Colorblocked Mesh Polo Shirt, Created for Macy's",Passion Blue,Give your sporty casual look a modern makeover with the attention-grabbing printed pattern featured on this comfortable cotton polo shirt from Alfani.,Alfani,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/13510276_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/3/optimized/13510273_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/4/optimized/13510274_fpx.tif,55.0,8.96,83,2XL,8757285
"Men's Colorblocked Mesh Polo Shirt, Created for Macy's",Deep Black,Give your sporty casual look a modern makeover with the attention-grabbing printed pattern featured on this comfortable cotton polo shirt from Alfani.,Alfani,https://slimages.macysassets.com/is/image/MCY/products/4/optimized/13504954_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/3/optimized/13504953_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/5/optimized/13504955_fpx.tif,55.0,8.96,83,S/M/L/XL/XXXL/2XL,8757285
